Date,Name,Year,Letterboxd URI,Rating
2023-05-16,Red Dragon,2002,https://boxd.it/1Yrs,2.5
2023-05-16,Tootsie,1982,https://boxd.it/1YkG,4
2023-05-17,Spy Kids,2001,https://boxd.it/1Xcw,2
2023-05-17,The Lifeguard,2013,https://boxd.it/4VS2,3
2023-05-18,Don't Look Now,1973,https://boxd.it/29fC,4
2023-05-19,The Wizard,1989,https://boxd.it/2aVY,4
2023-05-21,Fool's Paradise,2023,https://boxd.it/kdC2,4
2023-05-21,BlackBerry,2023,https://boxd.it/CoVK,4
2023-05-23,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,5
2023-05-23,Missing,2023,https://boxd.it/sS1W,4
2023-05-24,Slums of Beverly Hills,1998,https://boxd.it/1NCO,4
2023-05-25,Consecration,2023,https://boxd.it/xn4q,3
2023-05-26,Rare Exports: A Christmas Tale,2010,https://boxd.it/IyU,2
2023-05-27,The Last House on the Left,2009,https://boxd.it/1H2q,3
2023-05-27,The Red Shoes,1948,https://boxd.it/1EXI,5
2023-05-27,Black Narcissus,1947,https://boxd.it/1Kce,5
2023-05-27,The Shining,1980,https://boxd.it/29Nu,5
2023-05-27,Pan's Labyrinth,2006,https://boxd.it/28No,5
2023-05-28,The Little Mermaid,2023,https://boxd.it/fVum,1
2023-05-28,The Thief of Bagdad,1940,https://boxd.it/1Sei,4
2023-05-29,The Tales of Hoffmann,1951,https://boxd.it/Sds,4
2023-05-30,First Reformed,2017,https://boxd.it/go9C,4
2023-05-30,The Wind Rises,2013,https://boxd.it/4JQS,3
2023-05-31,The Card Counter,2021,https://boxd.it/nTH0,4
2023-05-31,Becky,2020,https://boxd.it/mcOg,4
2023-06-01,You Hurt My Feelings,2023,https://boxd.it/xBXu,4
2023-06-01,Hypnotic,2023,https://boxd.it/jwXw,2
2023-06-02,Fast X,2023,https://boxd.it/drIu,1.5
2023-06-03,The Wrath of Becky,2023,https://boxd.it/BfbG,4
2023-06-05,The Doom Generation,1995,https://boxd.it/1PVe,4
2023-06-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-09,Sinister,2012,https://boxd.it/2TnW,3
2023-06-11,Mrs. Doubtfire,1993,https://boxd.it/29Cw,4
2023-06-11,The 40 Year Old Virgin,2005,https://boxd.it/21hK,4
2023-06-13,Bumblebee,2018,https://boxd.it/f21O,3.5
2023-06-17,Transformers: Rise of the Beasts,2023,https://boxd.it/oQTa,3
2023-06-19,Son of Godzilla,1967,https://boxd.it/1GAQ,2.5
2023-06-20,The Holy Mountain,1973,https://boxd.it/20mu,5
2023-06-20,El Topo,1970,https://boxd.it/1QYS,5
2023-06-20,Elemental,2023,https://boxd.it/ASiE,3.5
2023-06-21,The Blackening,2022,https://boxd.it/C6VM,3.5
2023-06-21,Past Lives,2023,https://boxd.it/oNB8,5
2023-06-22,May,2002,https://boxd.it/1V8M,3
2023-06-27,Asteroid City,2023,https://boxd.it/s3ds,5
2023-06-27,No Hard Feelings,2023,https://boxd.it/xouu,4
2023-06-29,Moon Garden,2022,https://boxd.it/ATQs,2
2023-07-03,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,3.5
2023-07-03,Jennifer's Body,2009,https://boxd.it/1Efw,4
2023-07-05,"Synecdoche, New York",2008,https://boxd.it/23zw,4
2023-07-08,Insidious: The Red Door,2023,https://boxd.it/mIIu,2.5
2023-07-08,I Love Ana,2021,https://boxd.it/AWk0,3.5
2023-07-10,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2023-07-13,Mission: Impossible,1996,https://boxd.it/29d2,4
2023-07-13,Alien,1979,https://boxd.it/2awY,5
2023-07-13,August Rush,2007,https://boxd.it/23kQ,2.5
2023-07-14,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3.5
2023-07-14,Mission: Impossible II,2000,https://boxd.it/29cS,2
